x,plus,minus,midpt
0.34643158189614254,6 1,12 3,25
0.003617530818170866,6 1,13 3,25.5
0.48753298730474925,6 1,14 3,26
0.3599261844480736,7 1,8 1,13.5
0.5593200796469013,7 1,9 1,14
1,7 1,10 1,14.5
0.5502133091457627,7 1,11 1,15
3.667049106247614e-4,7 1,12 1,15.5
1,7 1,13 1,16
0.013161225191824982,7 1,14 1,16.5
1,7 1,-5 3,17
1,7 1,-4 3,17.5
1,7 1,-3 3,18
1,7 1,-2 3,18.5
0.04395061174169345,7 1,-1 3,19
1,7 1,0 3,19.5
0.8365360677291243,7 1,1 3,20
0.88419106871989706,7 1,2 3,20.5
0.3942725868748176,7 1,3 3,21
0.533305606741559,7 1,4 3,21.5
0.6086846665520793,7 1,5 3,22
0.6757771726984879,7 1,6 3,22.5
1,7 1,7 3,23
0.9345608350472037,7 1,8 3,23.5
0.6074369365071827,7 1,9 3,24
0.6419842805446444,7 1,10 3,24.5
0.8382543879737698,7 1,11 3,25
1,7 1,12 3,25.5
1,7 1,13 3,26
1,7 1,14 3,26.5
1,8 1,9 1,14.5
0.6000040847231519,8 1,10 1,15
1,8 1,11 1,15.5
2.343744318902628e-4,8 1,12 1,16
0.49405177523741933,8 1,13 1,16.5
1,8 1,14 1,17
0.044728513166615545,8 1,-5 3,17.5
0.5185881424708679,8 1,-4 3,18
0.6111878207552585,8 1,-3 3,18.5
0.45464052978847397,8 1,-2 3,19
1,8 1,-1 3,19.5
0.31108363456064,8 1,0 3,20
0.736601238451653,8 1,1 3,20.5
0.7186848095433572,8 1,2 3,21
1,8 1,3 3,21.5
1,8 1,4 3,22
1,8 1,5 3,22.5
0.9364805069713004,8 1,6 3,23
0.3784238993963865,8 1,7 3,23.5
0.00672106859187562,8 1,8 3,24
1,8 1,9 3,24.5
0.9837544282036658,8 1,10 3,25
0.001883655850931017,8 1,11 3,25.5
0.5049770133256414,8 1,12 3,26
0.048829485667713446,8 1,13 3,26.5
0.6131513113421523,8 1,14 3,27
0.7963366652765529,9 1,10 1,15.5
1,9 1,11 1,16
3.1644102202562117e-4,9 1,12 1,16.5
0.6566398090162603,9 1,13 1,17
0.7865923576003921,9 1,14 1,17.5
0.4339259131138951,9 1,-5 3,18
0.6827462794439684,9 1,-4 3,18.5
0.77856324595183,9 1,-3 3,19
0.6297277121854893,9 1,-2 3,19.5
0.8399762378025852,9 1,-1 3,20
0.5080952140985723,9 1,0 3,20.5
1,9 1,1 3,21
0.9480816293372649,9 1,2 3,21.5
1,9 1,3 3,22
1,9 1,4 3,22.5
1,9 1,5 3,23
1,9 1,6 3,23.5
0.5686665269789428,9 1,7 3,24
0.3152871117879489,9 1,8 3,24.5
1,9 1,9 3,25
1,9 1,10 3,25.5
0.04798026167634952,9 1,11 3,26
0.6661397703322358,9 1,12 3,26.5
0.4393013881807257,9 1,13 3,27
0.8028998409666499,9 1,14 3,27.5
0.7979724123367036,10 1,11 1,16.5
3.5814067250958487e-4,10 1,12 1,17
1,10 1,13 1,17.5
0.4294966308180126,10 1,14 1,18
0.7518723154301521,10 1,-5 3,18.5
1,10 1,-4 3,19
1,10 1,-3 3,19.5
1,10 1,-2 3,20
0.4914077671212194,10 1,-1 3,20.5
0.8626847969447242,10 1,0 3,21
1,10 1,1 3,21.5
1,10 1,2 3,22
0.6207470309954501,10 1,3 3,22.5
0.7335844465204605,10 1,4 3,23
0.8644568290286034,10 1,5 3,23.5
0.985775148188077,10 1,6 3,24
0.9500290741876579,10 1,7 3,24.5
0.6446243760465125,10 1,8 3,25
0.8662325010255969,10 1,9 3,25.5
0.9384041220740091,10 1,10 3,26
0.5943277313964325,10 1,11 3,26.5
1,10 1,12 3,27
0.7549643143748336,10 1,13 3,27.5
1,10 1,14 3,28
3.194840013701427e-4,11 1,12 1,17.5
0.6552937767216961,11 1,13 1,18
0.7882080889770643,11 1,14 1,18.5
0.43214874505459505,11 1,-5 3,19
0.6771652797287914,11 1,-4 3,19.5
0.7801624848117725,11 1,-3 3,20
0.622022101170318,11 1,-2 3,20.5
0.8417016244656537,11 1,-1 3,21
0.5039418714432643,11 1,0 3,21.5
1,11 1,1 3,22
0.9519805192647471,11 1,2 3,22.5
1,11 1,3 3,23
1,11 1,4 3,23.5
1,11 1,5 3,24
1,11 1,6 3,24.5
0.5628618849788054,11 1,7 3,25
0.3146408112915442,11 1,8 3,25.5
1,11 1,9 3,26
1,11 1,10 3,26.5
0.046325864979817236,11 1,11 3,27
0.6579886061820953,11 1,12 3,27.5
0.43750220456000494,11 1,13 3,28
0.804549069379359,11 1,14 3,28.5
3.7098365117227904e-4,12 1,13 1,18.5
6.212949874442273e-4,12 1,14 1,19
3.8594198240885256e-4,12 1,-5 3,19.5
3.6242392736606486e-4,12 1,-4 3,20
3.538551164307816e-4,12 1,-3 3,20.5
3.79534516151521e-4,12 1,-2 3,21
0.0026304783969643996,12 1,-1 3,21.5
4.004244389613635e-4,12 1,0 3,22
3.3668925993940533e-4,12 1,1 3,22.5
3.4527697824628914e-4,12 1,2 3,23
1.5760521998059036e-4,12 1,3 3,23.5
2.4710226812814845e-4,12 1,4 3,24
2.768809757723165e-4,12 1,5 3,24.5
3.0497229400787515e-4,12 1,6 3,25
4.0903197525336837e-4,12 1,7 3,25.5
4.0472923448933517e-4,12 1,8 3,26
2.795435354011944e-4,12 1,9 3,26.5
3.007409962825779e-4,12 1,10 3,27
3.961175645833813e-4,12 1,11 3,27.5
3.7526017718433766e-4,12 1,12 3,28
3.8965330110304815e-4,12 1,13 3,28.5
