mc_id,sc_id,age,exposure,treatment,date,day,volume,replacement_volume,volume24,weekday,fecalsamp,hrs_bw_samplingpoints,volume_per_hour,volume24_corr,number of bees
7,1,1,pre,Sacrifice,2020-09-11,-3,0,12.5,4.5,Friday,no,24,0.1875,4.5,10
7,1,1,pre,Sacrifice,2020-09-12,-2,6.5,,6,Saturday,no,28.5,0.210526316,5.052631579,10
7,1,1,pre,Sacrifice,2020-09-13,-1,1.5,10,5,Sunday,no,24,0.208333333,5,10
7,1,1,pre,Sacrifice,2020-09-14,0,6.5,10,3.5,Monday,yes,19.5,0.179487179,4.307692308,10
7,1,1,during,Sacrifice,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
7,1,1,during,Sacrifice,2020-09-16,2,7,10,3,Wednesday,yes,24,0.125,3,10
7,1,1,during,Sacrifice,2020-09-17,3,6,10,4,Thursday,yes,24,0.166666667,4,10
7,1,1,during,Sacrifice,2020-09-18,4,6.5,10,3.5,Friday,no,24,0.145833333,3.5,10
7,1,1,during,Sacrifice,2020-09-19,5,7,,3,Saturday,yes,24,0.125,3,10
8,2,1,pre,Control,2020-09-08,-6,13,,,Tuesday,no,24,,,10
8,2,1,pre,Control,2020-09-09,-5,11,,2,Wednesday,no,24,0.083333333,2,10
8,2,1,pre,Control,2020-09-10,-4,7.5,,3.5,Thursday,no,24,0.145833333,3.5,10
8,2,1,pre,Control,2020-09-11,-3,3,13,4.5,Friday,no,24,0.1875,4.5,10
8,2,1,pre,Control,2020-09-12,-2,7.5,,5.5,Saturday,no,28.5,0.192982456,4.631578947,10
8,2,1,pre,Control,2020-09-13,-1,2.5,10,5,Sunday,no,24,0.208333333,5,10
8,2,1,pre,Control,2020-09-14,0,5,9.5,5,Monday,yes,19.5,0.256410256,6.153846154,10
8,2,1,during,Control,2020-09-15,1,6.5,10,3,Tuesday,no,24,0.125,3,10
8,2,1,during,Control,2020-09-16,2,5,10,5,Wednesday,yes,24,0.208333333,5,10
8,2,1,during,Control,2020-09-17,3,6,10,4,Thursday,yes,24,0.166666667,4,10
8,2,1,during,Control,2020-09-18,4,4.5,10,5.5,Friday,no,24,0.229166667,5.5,10
8,2,1,during,Control,2020-09-19,5,6,13,4,Saturday,yes,24,0.166666667,4,10
8,2,1,post,Control,2020-09-20,6,9,,4,Sunday,no,28.5,0.140350877,3.368421053,10
8,2,1,post,Control,2020-09-21,7,4,,5,Monday,no,19.5,0.256410256,6.153846154,10
8,2,1,post,Control,2020-09-22,8,0,12,4,Tuesday,yes,24,0.166666667,4,10
8,2,1,post,Control,2020-09-23,9,8.5,,3.5,Wednesday,no,24,0.145833333,3.5,10
8,2,1,post,Control,2020-09-24,10,4,12.5,4.5,Thursday,no,24,0.1875,4.5,10
8,2,1,post,Control,2020-09-25,11,8,,4.5,Friday,no,24,0.1875,4.5,10
8,2,1,post,Control,2020-09-26,12,2,12.5,6,Saturday,no,28.5,0.210526316,5.052631579,10
8,2,1,post,Control,2020-09-27,13,10,,2.5,Sunday,no,19.5,0.128205128,3.076923077,10
8,2,1,post,Control,2020-09-28,14,6,,4,Monday,yes,28.5,0.140350877,3.368421053,10
9,2,1,pre,DMSO,2020-09-08,-6,13,,,Tuesday,no,24,,,10
9,2,1,pre,DMSO,2020-09-09,-5,9,,4,Wednesday,no,24,0.166666667,4,10
9,2,1,pre,DMSO,2020-09-10,-4,5,,4,Thursday,no,24,0.166666667,4,10
9,2,1,pre,DMSO,2020-09-11,-3,0,13,5,Friday,no,24,0.208333333,5,10
9,2,1,pre,DMSO,2020-09-12,-2,8,,5,Saturday,no,28.5,0.175438596,4.210526316,10
9,2,1,pre,DMSO,2020-09-13,-1,3,10,5,Sunday,no,24,0.208333333,5,10
9,2,1,pre,DMSO,2020-09-14,0,5.5,10,4.5,Monday,yes,19.5,0.230769231,5.538461538,10
9,2,1,during,DMSO,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
9,2,1,during,DMSO,2020-09-16,2,6.5,10,3.5,Wednesday,yes,24,0.145833333,3.5,10
9,2,1,during,DMSO,2020-09-17,3,7,9.5,3,Thursday,yes,24,0.125,3,10
9,2,1,during,DMSO,2020-09-18,4,5.5,10,4,Friday,no,24,0.166666667,4,10
9,2,1,during,DMSO,2020-09-19,5,6.5,13,3.5,Saturday,yes,24,0.145833333,3.5,10
9,2,1,post,DMSO,2020-09-20,6,10.5,,2.5,Sunday,no,28.5,0.087719298,2.105263158,10
9,2,1,post,DMSO,2020-09-21,7,7.5,,3,Monday,no,19.5,0.153846154,3.692307692,10
9,2,1,post,DMSO,2020-09-22,8,2.5,13,5,Tuesday,yes,24,0.208333333,5,10
9,2,1,post,DMSO,2020-09-23,9,9.5,,3.5,Wednesday,no,24,0.145833333,3.5,10
9,2,1,post,DMSO,2020-09-24,10,5.5,12.5,4,Thursday,no,24,0.166666667,4,10
9,2,1,post,DMSO,2020-09-25,11,8.5,,4,Friday,no,24,0.166666667,4,10
9,2,1,post,DMSO,2020-09-26,12,3,12.5,5.5,Saturday,no,28.5,0.192982456,4.631578947,10
9,2,1,post,DMSO,2020-09-27,13,8.5,,4,Sunday,no,19.5,0.205128205,4.923076923,10
9,2,1,post,DMSO,2020-09-28,14,4.5,,4,Monday,yes,28.5,0.140350877,3.368421053,10
10,2,1,pre,1ppb,2020-09-08,-6,12.5,,,Tuesday,no,24,,,10
10,2,1,pre,1ppb,2020-09-09,-5,8.5,,4,Wednesday,no,24,0.166666667,4,10
10,2,1,pre,1ppb,2020-09-10,-4,3.5,,5,Thursday,no,24,0.208333333,5,10
10,2,1,pre,1ppb,2020-09-11,-3,0,13,3.5,Friday,no,24,0.145833333,3.5,10
10,2,1,pre,1ppb,2020-09-12,-2,6.5,,6.5,Saturday,no,28.5,0.228070175,5.473684211,10
10,2,1,pre,1ppb,2020-09-13,-1,1.5,10,5,Sunday,no,24,0.208333333,5,10
10,2,1,pre,1ppb,2020-09-14,0,6,10,4,Monday,yes,19.5,0.205128205,4.923076923,10
10,2,1,during,1ppb,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
10,2,1,during,1ppb,2020-09-16,2,6.5,10,3.5,Wednesday,yes,24,0.145833333,3.5,10
10,2,1,during,1ppb,2020-09-17,3,6,10,4,Thursday,yes,24,0.166666667,4,10
10,2,1,during,1ppb,2020-09-18,4,5.5,10,4.5,Friday,no,24,0.1875,4.5,10
10,2,1,during,1ppb,2020-09-19,5,5.5,12.5,4.5,Saturday,yes,24,0.1875,4.5,10
10,2,1,post,1ppb,2020-09-20,6,7.5,,5,Sunday,no,28.5,0.175438596,4.210526316,10
10,2,1,post,1ppb,2020-09-21,7,3.5,13,4,Monday,no,19.5,0.205128205,4.923076923,10
10,2,1,post,1ppb,2020-09-22,8,8,,5,Tuesday,yes,24,0.208333333,5,10
10,2,1,post,1ppb,2020-09-23,9,4.5,,3.5,Wednesday,no,24,0.145833333,3.5,10
10,2,1,post,1ppb,2020-09-24,10,0,12.5,4.5,Thursday,no,24,0.1875,4.5,10
10,2,1,post,1ppb,2020-09-25,11,8,,4.5,Friday,no,24,0.1875,4.5,10
10,2,1,post,1ppb,2020-09-26,12,2.5,12.5,5.5,Saturday,no,28.5,0.192982456,4.631578947,10
10,2,1,post,1ppb,2020-09-27,13,9,,3.5,Sunday,no,19.5,0.179487179,4.307692308,10
10,2,1,post,1ppb,2020-09-28,14,4.5,,4.5,Monday,yes,28.5,0.157894737,3.789473684,10
11,2,1,pre,10 ppb,2020-09-08,-6,10,,,Tuesday,no,24,,,10
11,2,1,pre,10 ppb,2020-09-09,-5,0,13,,Wednesday,no,24,,,10
11,2,1,pre,10 ppb,2020-09-10,-4,7.5,,5.5,Thursday,no,24,0.229166667,5.5,10
11,2,1,pre,10 ppb,2020-09-11,-3,3,13,4.5,Friday,no,24,0.1875,4.5,10
