x,plus,minus,midpt
0.917459903,9 1,4 1,12.5
0.525902604,10 1,4 1,13
0.919344448,11 1,4 1,13.5
1.64E-04,12 1,4 1,14
0.391573973,13 1,4 1,14.5
1,14 1,4 1,15
1,4 3,4 1,20
1,6 1,5 1,11.5
9.70E-05,7 1,5 1,12
0.794704271,8 1,5 1,12.5
0.601236547,9 1,5 1,13
0.032825541,10 1,5 1,13.5
0.606191764,11 1,5 1,14
0.017091175,12 1,5 1,14.5
0.004478093,13 1,5 1,15
1,14 1,5 1,15.5
0.627148627,5 3,5 1,21
0.017424154,7 1,6 1,12.5
1,8 1,6 1,13
0.824606048,9 1,6 1,13.5
0.461018161,10 1,6 1,14
0.826299863,11 1,6 1,14.5
9.79E-05,12 1,6 1,15
0.322415172,13 1,6 1,15.5
1,14 1,6 1,16
0.726096411,6 3,6 1,22
0.359926184,8 1,7 1,13.5
0.55932008,9 1,7 1,14
1,10 1,7 1,14.5
0.550213309,11 1,7 1,15
3.67E-04,12 1,7 1,15.5
1,13 1,7 1,16
0.013161225,14 1,7 1,16.5
1,7 3,7 1,23
1,9 1,8 1,14.5
0.600004085,10 1,8 1,15
1,11 1,8 1,15.5
2.34E-04,12 1,8 1,16
0.494051775,13 1,8 1,16.5
1,14 1,8 1,17
0.006721069,8 3,8 1,24
0.796336665,10 1,9 1,15.5
1,11 1,9 1,16
3.16E-04,12 1,9 1,16.5
0.656639809,13 1,9 1,17
0.786592358,14 1,9 1,17.5
1,9 3,9 1,25
0.797972412,11 1,10 1,16.5
3.58E-04,12 1,10 1,17
1,13 1,10 1,17.5
0.429496631,14 1,10 1,18
0.938404122,10 3,10 1,26
3.19E-04,12 1,11 1,17.5
0.655293777,13 1,11 1,18
0.788208089,14 1,11 1,18.5
0.046325865,11 3,11 1,27
3.71E-04,13 1,12 1,18.5
6.21E-04,14 1,12 1,19
3.75E-04,12 3,12 1,28
0.21251396,14 1,13 1,19.5
0.942263214,13 3,13 1,29
0.466649007,14 3,14 1,30
0.921232864,-4 3,-5 3,21.5
0.758069029,-3 3,-5 3,22
1,-2 3,-5 3,22.5
5.74E-04,-1 3,-5 3,23
1,0 3,-5 3,23.5
0.615672834,1 3,-5 3,24
0.645948492,2 3,-5 3,24.5
0.011203108,3 3,-5 3,25
0.250482375,4 3,-5 3,25.5
0.396707195,5 3,-5 3,26
0.496347729,6 3,-5 3,26.5
1,7 3,-5 3,27
1,8 3,-5 3,27.5
0.397522067,9 3,-5 3,28
0.46007313,10 3,-5 3,28.5
1,11 3,-5 3,29
0.953935973,12 3,-5 3,29.5
1,13 3,-5 3,30
0.74879298,14 3,-5 3,30.5
1,-3 3,-4 3,22.5
1,-2 3,-4 3,23
0.162324005,-1 3,-4 3,23.5
1,0 3,-4 3,24
0.955895443,1 3,-4 3,24.5
1,2 3,-4 3,25
0.461965134,3 3,-4 3,25.5
0.589469495,4 3,-4 3,26
0.670253141,5 3,-4 3,26.5
0.739630437,6 3,-4 3,27
1,7 3,-4 3,27.5
0.741149704,8 3,-4 3,28
0.671629901,9 3,-4 3,28.5
0.721640328,10 3,-4 3,29
0.686962194,11 3,-4 3,29.5
1,12 3,-4 3,30
0.923125159,13 3,-4 3,30.5
1,14 3,-4 3,31
1,-2 3,-3 3,23.5
0.401621604,-1 3,-3 3,24
0.876963391,0 3,-3 3,24.5
1,1 3,-3 3,25
1,2 3,-3 3,25.5
0.553610841,3 3,-3 3,26
0.695472283,4 3,-3 3,26.5
0.762750057,5 3,-3 3,27
0.896983137,6 3,-3 3,27.5
1,7 3,-3 3,28
0.647275329,8 3,-3 3,28.5
0.764316814,9 3,-3 3,29
0.846899078,10 3,-3 3,29.5
0.588261154,11 3,-3 3,30
1,12 3,-3 3,30.5
0.765886789,13 3,-3 3,31
1,14 3,-3 3,31.5
0.021177984,-1 3,-2 3,24.5
1,0 3,-2 3,25
0.848638685,1 3,-2 3,25.5
0.89882562,2 3,-2 3,26
0.376082614,3 3,-2 3,26.5
0.528065326,4 3,-2 3,27
0.603709072,5 3,-2 3,27.5
0.688373276,6 3,-2 3,28
1,7 3,-2 3,28.5
0.850381865,8 3,-2 3,29
0.602471541,9 3,-2 3,29.5
0.64860489,10 3,-2 3,30
0.742672092,11 3,-2 3,30.5
1,12 3,-2 3,31
1,13 3,-2 3,31.5
1,14 3,-2 3,32
0.002377647,0 3,-1 3,25.5
0.554748008,1 3,-1 3,26
0.529150019,2 3,-1 3,26.5
1,3 3,-1 3,27
0.900671889,4 3,-1 3,27.5
0.767459989,5 3,-1 3,28
0.689787257,6 3,-1 3,28.5
0.009016403,7 3,-1 3,29
2.01E-04,8 3,-1 3,29.5
0.769036421,9 3,-1 3,30
0.723122642,10 3,-1 3,30.5
2.39E-04,11 3,-1 3,31
0.098085903,12 3,-1 3,31.5
5.79E-04,13 3,-1 3,32
0.411866266,14 3,-1 3,32.5
0.691204142,1 3,0 3,26.5
0.724608001,2 3,0 3,27
0.033406535,3 3,0 3,27.5
0.376855122,4 3,0 3,28
0.482460327,5 3,0 3,28.5
0.55588751,6 3,0 3,29
1,7 3,0 3,29.5
1,8 3,0 3,30
0.483451344,9 3,0 3,30.5
0.526982855,10 3,0 3,31
0.957858938,11 3,0 3,31.5
1,12 3,0 3,32
1,13 3,0 3,32.5
0.86801182,14 3,0 3,33
1,2 3,1 3,27.5
0.708435492,3 3,1 3,28
0.878764753,4 3,1 3,28.5
1,5 3,1 3,29
1,6 3,1 3,29.5
0.744197607,7 3,1 3,30
0.512387849,8 3,1 3,30.5
1,9 3,1 3,31
1,10 3,1 3,31.5
0.44126627,11 3,1 3,32
0.925021341,12 3,1 3,32.5
0.618204727,13 3,1 3,33
1,14 3,1 3,33.5
0.673009489,3 3,2 3,28.5
0.827997158,4 3,2 3,29
0.959826466,5 3,2 3,29.5
1,6 3,2 3,30
0.799611519,7 3,2 3,30.5
0.539994025,8 3,2 3,31
0.961798036,9 3,2 3,31.5
1,10 3,2 3,32
0.480484384,11 3,2 3,32.5
1,12 3,2 3,33
0.652609984,13 3,2 3,33.5
1,14 3,2 3,34
1,4 3,3 3,29.5
1,5 3,3 3,30
0.880569814,6 3,3 3,30.5
0.259427641,7 3,3 3,31
0.001177174,8 3,3 3,31.5
1,9 3,3 3,32
0.926921418,10 3,3 3,32.5
1.22E-04,11 3,3 3,33
0.44217267,12 3,3 3,33.5
0.011275395,13 3,3 3,34
0.570690596,14 3,3 3,34.5
1,5 3,4 3,30.5
1,6 3,4 3,31
0.462914052,7 3,4 3,31.5
0.013761241,8 3,4 3,32
1,9 3,4 3,32.5
1,10 3,4 3,33
0.00481323,11 3,4 3,33.5
0.575961716,12 3,4 3,34
0.264019366,13 3,4 3,34.5
0.696900846,14 3,4 3,35
1,6 3,5 3,31.5
0.541103221,7 3,5 3,32
0.101588762,8 3,5 3,32.5
1,9 3,5 3,33
1,10 3,5 3,33.5
0.016981602,11 3,5 3,34
0.649937183,12 3,5 3,34.5
0.402446571,13 3,5 3,35
0.781765009,14 3,5 3,35.5
0.619474575,7 3,6 3,32.5
0.360665505,8 3,6 3,33
1,9 3,6 3,33.5
1,10 3,6 3,34
0.159500927,11 3,6 3,34.5
0.73058001,12 3,6 3,35
0.497367272,13 3,6 3,35.5
0.90623348,14 3,6 3,36
0.963773656,8 3,7 3,33.5
0.538887103,9 3,7 3,34
0.591893629,10 3,7 3,34.5
0.852128626,11 3,7 3,35
1,12 3,7 3,35.5
1,13 3,7 3,36
0.967737078,14 3,7 3,36.5
0.103386827,9 3,8 3,34.5
0.326715209,10 3,8 3,35
1,11 3,8 3,35.5
0.770616091,12 3,8 3,36
1,13 3,8 3,36.5
0.638044397,14 3,8 3,37
1,10 3,9 3,35.5
0.017201455,11 3,9 3,36
0.651272212,12 3,9 3,36.5
0.39997674,13 3,9 3,37
0.783370824,14 3,9 3,37.5
0.059318589,11 3,10 3,36.5
0.709890682,12 3,10 3,37
0.463864919,13 3,10 3,37.5
0.869794795,14 3,10 3,38
0.711348862,12 3,11 3,37.5
1,13 3,11 3,38
0.584620276,14 3,11 3,38.5
0.965753333,13 3,12 3,38.5
1,14 3,12 3,39
0.750331068,14 3,13 3,39.5
